Symbol	Adj Multiple	Date	Open	Adj Open	Forward Lag  1	Prediction	Choice	Sim	Trade Amount	
AIRI	0.0021386234	2004-04-28	354.72	165863.704195356	6.49594468460357E-006	0.0717425283	1	9572.4498645412	1918.4874804305	
MAGS	1.0500352361	2004-04-29	15.7	14.9518791946	-0.1071195297	0.2652858005	1	9347.3705989912	1914.4899729082	
NTIP	1.0454545455	2004-05-03	0.23	0.22	0	0.1057412697	1	9327.3705989912	1869.4741197983	
ALYE	0.2	2004-05-04	0.5	2.5	-0.0909090909	0.183822242	1	9137.782042646	1865.4741197983	
ABAT	0.1	2004-05-05	0.36	3.6	0.1666666667	0.089629713	1	9422.3747774008	1827.5564085292	
DYSL	1	2004-05-06	0.25	0.25	0	0.0841086196	1	9402.3747774008	1884.4749554802	
NTIP	1.0454545455	2004-05-07	0.23	0.22	-0.2533333333	0.2459390372	1	8905.9877886792	1880.4749554802	
NVTL	1	2004-05-10	14.9	14.9	0.068115942	0.0922796139	1	9007.3157382641	1781.1975577358	
OPXA	0.025	2004-05-11	0.5	20	0	0.7329088149	1	8987.3157382641	1801.4631476528	
OPXA	0.025	2004-05-12	0.51	20.4	0.9607843137	0.1468526183	1	10694.2901350285	1797.4631476528	
OPXA	0.025	2004-05-13	0.51	20.4	0	0.458496766	1	10674.2901350285	2138.8580270057	
OPXA	0.025	2004-05-14	1	40	0	0.6065150861	1	10654.2901350285	2134.8580270057	
OPXA	0.025	2004-05-17	1	40	0	0.1267297604	1	10634.2901350285	2130.8580270057	
OPXA	0.025	2004-05-18	1	40	0	0.096878277	1	10614.2901350285	2126.8580270057	
SVBL	1	2004-05-19	2.7	2.7	-0.0576923077	0.0580266906	1	10471.8175565474	2122.8580270057	
AIRI	0.0021386234	2004-05-20	249.8	116804.11	-0.3600245253	0.052271598	1	9697.7953275724	2094.3635113095	
AIRI	0.0021386233	2004-05-25	174.86	81762.8816666667	-0.4333333286	0.0489471806	1	8837.3197417412	1939.5590655145	
OPXA	0.025	2004-05-26	1	40	0.25	0.3586823618	1	9259.1857288283	1767.4639483483	
OPXA	0.025	2004-05-27	4	160	0.2	2.1704271523	1	9609.5531579814	1851.8371457657	
NHTC	1.0013351135	2004-05-28	14.25	14.231	-0.0384742488	0.098547946	1	9515.6090901356	1921.9106315963	
OPXA	0.025	2004-06-01	6	240	0.4736842105	0.4191125513	1	10397.0878460431	1903.1218180271	
LWLG	1	2004-05-31	0.25	0.25	1.4	0.0310503961	1	13288.2724429352	2079.4175692086	
OPXA	0.025	2004-06-02	9.5	380	0	0.2493896045	1	13268.2724429352	2657.654488587	
OPXA	0.025	2004-06-03	14	560	0	0.06952158	1	13248.2724429352	2653.654488587	
SMED	1	2004-06-07	1.05	1.05	0	0.295491782	1	13228.2724429352	2649.654488587	
SCON	0.0083368574	2004-06-08	1.35	161.9315217391	0.0575704208	0.0884529488	1	13360.5838851085	2645.654488587	
AIRI	0.0021386233	2004-06-09	149.88	70082.47	0	0.1632242183	1	13340.5838851085	2672.1167770217	
ADMP	0.0588235294	2004-06-10	4.76	80.92	0.0988235294	0.1565125299	1	13584.2566018965	2668.1167770217	
GSB	1.1	2004-06-14	0.11	0.1	0	0.1599530882	1	13564.2566018965	2716.8513203793	
LWLG	1	2004-06-11	0.25	0.25	0	0.0459206021	1	13544.2566018965	2712.8513203793	
AOLS	0.1	2004-06-15	0.31	3.1	0.04	0.2020237427	1	13632.6106547117	2708.8513203793	
FRD	1.6481481481	2004-06-16	4.35	2.6393258427	-0.0088234131	0.0453700671	1	13588.5534236188	2726.5221309423	
SCON	0.0083364626	2004-06-17	1.2	143.9459459459	0.2000044228	0.0441905505	1	14112.1075803806	2717.7106847238	
NTIP	1.0740740741	2004-06-18	0.29	0.27	0.5	0.0940459443	1	15503.3183384187	2822.4215160761	
TTNP	1	2004-06-21	3	3	-0.0703703704	0.0872809423	1	15265.1234877298	3100.6636676837	
SMED	1	2004-06-22	0.58	0.58	0	0.0736100858	1	15245.1234877298	3053.024697546	
STLY	2.1863230922	2004-06-23	42.06	19.2377787851	-0.0065409775	0.0561154679	1	15205.1798857586	3049.024697546	
TTNP	1	2004-06-24	2.45	2.45	0.1133603239	0.0565170363	1	15529.9127090795	3041.0359771517	
CCNI	5	2004-06-25	0.45	0.09	0	0.0975371481	1	15509.9127090795	3105.9825418159	
HIPP	1	2004-06-28	0.51	0.51	0	0.375963502	1	15489.9127090795	3101.9825418159	
OPXA	0.025	2004-06-30	8.15	326	0	0.2463178961	1	15469.9127090795	3097.9825418159	
ALYE	0.2	2004-07-01	0.9	4.5	-0.0625	0.0801016567	1	15256.538800216	3093.9825418159	
GSB	1.0588235294	2004-07-02	0.11	0.1038888889	0.0105263158	1.5888606507	1	15268.6578292691	3051.3077600432	
URRE	0.025	2004-07-07	0.46	18.4	-0.0222222222	0.0859891119	1	15180.7971278056	3053.7315658538	
LWLG	1	2004-07-05	0.6	0.6	0.7	0.5608105544	1	17286.1087256984	3036.1594255611	
DYSL	1	2004-07-08	0.2	0.2	0	0.0977291542	1	17266.1087256984	3457.2217451397	
PED	0.0029723689	2004-07-12	1.4	471.0048	0.1594110589	0.2613545999	1	17796.5904606224	3453.2217451397	
ARIS	1	2004-07-13	1.4	1.4	0.0357142857	0.063025595	1	17903.7089639125	3559.3180921245	
SYPR	1.181988743	2004-07-14	12.67	10.7192222222	-0.0054628216	0.1268665248	1	17864.1480101395	3580.7417927825	
LWLG	1	2004-07-15	1.5	1.5	-0.1176470588	0.5779946333	1	17423.8151157832	3572.8296020279	
LWLG	1	2004-07-16	2.55	2.55	0.2	0.5971399655	1	18100.7677204146	3484.7630231567	
NTIP	1.0606060606	2004-07-19	0.29	0.2734285714	0	0.0829284717	1	18080.7677204146	3620.1535440829	
AOLS	1	2004-07-20	1.19	1.19	0.252173913	0.2391321097	1	18972.667309792	3616.1535440829	
PED	0.0029724307	2004-07-21	0.9	302.7825	-0.3684334032	0.0847782879	1	17554.6344328078	3794.5334619584	
SMED	1	2004-07-22	0.57	0.57	0	0.0557027103	1	17534.6344328078	3510.9268865616	
CCNI	4.8181818182	2004-07-23	0.53	0.11	-0.0909090909	0.5054526279	1	17195.8228976659	3506.9268865616	
JOEZ	1	2004-07-26	1.29	1.29	0	0.2987567323	1	17175.8228976659	3439.1645795332	
PED	0.0029723705	2004-07-27	0.35	117.7511363636	1	0.1599203812	1	20590.987477199	3435.1645795332	
VIEW	0.5	2004-07-29	2.4	4.8	0.0212765957	0.2286706308	1	20658.6087005063	4118.1974954398	
ACFN	1.0392156863	2004-07-30	0.92	0.8852830189	0.0101010101	0.0899248961	1	20680.3432635376	4131.7217401013	
BSQR	0.25	2004-08-02	0.5	2	0.0227272727	0.1127959729	1	20754.3448238264	4136.0686527075	
LWLG	1	2004-08-03	1.45	1.45	-0.0466666667	0.1603525524	1	20540.6376054707	4150.8689647653	
AOLS	1	2004-08-04	1.75	1.75	-0.1142857143	0.0577716934	1	20051.1373173456	4108.1275210941	
DPDW	0.0008333333	2004-08-05	204	244800	-0.1111111111	0.1107614297	1	19585.5564880713	4010.2274634691	
CRLRF	1	2004-08-06	0.51	0.51	0	0.0843874688	1	19565.5564880713	3917.1112976143	
SMED	1	2004-08-09	0.85	0.85	0	0.2008957289	1	19545.5564880713	3913.1112976143	
NTIP	1.0714285714	2004-08-10	0.2	0.1866666667	0.3736263736	0.1021279733	1	20986.1035663008	3909.1112976143	
NTIP	1.04	2004-08-12	0.3	0.2884615385	1.9	2.8071178445	1	28940.8229214951	4197.2207132602	
LWLG	1	2004-08-11	1.5	1.5	0	-0.0866460051	0	28940.8229214951	5788.164584299	
DDXS	1	2004-08-13	9.3	9.3	-0.0358974359	0.1587152698	1	28713.0426543664	5788.164584299	
DYSL	1	2004-08-16	0.08	0.08	0	0.1310036385	1	28693.0426543664	5742.6085308733	
EMAN	0.1028138528	2004-08-17	1.05	10.2126315789	0.0108404065	0.1435404553	1	28735.2515036424	5738.6085308733	
DYSL	1	2004-08-18	0.07	0.07	1.1428571429	0.1170411941	1	35283.3089901892	5747.0503007285	
DYSL	1	2004-08-19	0.07	0.07	-0.3333333333	0.1948979763	1	32911.0883908433	7056.6617980379	
HIPP	1	2004-08-20	0.3	0.3	0	0.3396487547	1	32891.0883908433	6582.2176781687	
AIRI	0.0021385018	2004-08-23	34.97	16352.57	0.2857147225	0.0861484332	1	34750.5820294218	6578.2176781687	
NTIP	1.0714285714	2004-08-24	0.3	0.28	0	0.1193631513	1	34730.5820294218	6950.1164058844	
NHLD	1	2004-08-25	0.85	0.85	0	0.1289813686	1	34710.5820294218	6946.1164058844	
LIVE	0.0310800311	2004-08-26	1.3	41.8275	-0.1311606844	0.074742602	1	33780.0492905431	6942.1164058844	
GSB	1.0833333333	2004-08-27	0.13	0.12	-0.4	0.1145919996	1	31057.6453472997	6756.0098581086	
ZTHO	1	2004-08-30	2.25	2.25	-0.0643564356	0.1059806539	1	30637.8934764928	6211.5290694599	
GSB	1.0714285714	2004-08-31	0.12	0.112	0	0.0824964758	1	30617.8934764928	6127.5786952986	
ISIG	1.375	2004-09-01	0.85	0.6181818182	-0.0097259063	1.2160567289	1	30538.3361240187	6123.5786952986	
GSB	1.0833333333	2004-09-02	0.13	0.12	0	0.1171514964	1	30518.3361240187	6107.6672248037	
PED	0.0029722982	2004-09-03	0.6	201.864	-9.83781656704874E-006	0.1018825929	1	30498.2760772601	6103.6672248037	
GSB	1.0833333333	2004-09-07	0.13	0.12	0.0625	0.1356748564	1	30859.5045282259	6099.655215452	
LWLG	1	2004-09-06	1.25	1.25	-0.0869565217	0.0259755444	1	30302.8174929524	6171.9009056452	
BSQR	0.25	2004-09-08	0.55	2.2	0.0363636364	0.0482532222	1	30503.2016201739	6060.5634985905	
CRLRF	1	2004-09-09	0.4	0.4	-0.2307692308	0.1930689208	1	29075.3615453966	6100.6403240348	
ABAT	1	2004-09-10	2.4	2.4	0	0.0721784537	1	29055.3615453966	5815.0723090793	
HIPP	1	2004-09-13	0.16	0.16	0	0.200640496	1	29035.3615453966	5811.0723090793	
EDAP	1	2004-09-14	1.81	1.81	0.0268817204	1.3348435619	1	29171.4656397267	5807.0723090793	
CRLRF	1	2004-09-15	0.35	0.35	0.025	0.0990953926	1	29297.3229679253	5834.2931279453	
AXGN	1.2234042553	2004-09-16	1.1	0.8991304348	0	0.0657096693	1	29277.3229679253	5859.4645935851	
ABCP	2.9666666667	2004-09-17	0.86	0.2898876404	0.0944170772	0.0970395285	1	29810.1788203574	5855.4645935851	
IIN	1	2004-09-20	1.93	1.93	0.0051813472	0.0669519381	1	29821.0701973733	5962.0357640715	
AXGN	1.2234042553	2004-09-21	1.1	0.8991304348	0.1261261261	0.0460475837	1	30553.3134095593	5964.2140394747	
SMTX	0.2	2004-09-22	0.34	1.7	0	0.0533531864	1	30533.3134095593	6110.6626819119	
CRLRF	1	2004-09-23	0.5	0.5	-0.3	0.0896644109	1	28681.3146049858	6106.6626819119	
PURE	0.125	2004-09-24	0.45	3.6	-0.1568627451	0.1380552742	1	27761.5086565941	5736.2629209972	
ULBI	1	2004-09-27	10.9	10.9	0.0946626385	0.1056840428	1	28267.1041880583	5552.3017313188	
ULBI	1	2004-09-28	9.93	9.93	-0.0505979761	0.0695694117	1	27961.0525357412	5653.4208376117	
FLL	1	2004-09-29	0.7	0.7	0	0.0700033038	1	27941.0525357412	5592.2105071483	
PED	0.002972328	2004-09-30	0.84	282.6067605634	-0.0985915493	0.2030716649	1	27370.1022040506	5588.2105071483	
CRLRF	1	2004-10-01	0.35	0.35	0	0.0404470065	1	27350.1022040506	5474.0204408101	
SVBL	1	2004-10-04	2.95	2.95	0.02	0.0868434165	1	27439.5026128668	5470.0204408101	
OPXA	0.025	2004-10-05	8	320	0	0.5424895669	1	27419.5026128668	5487.9005225734	
NTIP	1.0714285714	2004-10-06	0.45	0.42	0.0220673635	0.0665122928	1	27520.517839265	5483.9005225734	
GNVC	0.1	2004-10-07	1.9	19	0.1031746032	0.1051918942	1	28068.4015407102	5504.103567853	
PED	0.002972328	2004-10-08	0.71	238.87	1.84621065262291E-005	0.086597863	1	28048.505181074	5613.680308142	
SMED	1	2004-10-11	0.95	0.95	0	0.1265573531	1	28028.505181074	5609.7010362148	
MCZ	1	2004-10-12	0.66	0.66	-0.0579710145	0.0495984394	1	27683.5370050616	5605.7010362148	
LWLG	1	2004-10-13	0.75	0.75	-0.1584158416	0.1471401244	1	26786.434842525	5536.7074010123	
ASTC	0.1	2004-10-14	0.95	9.5	0.0606060606	0.1462377892	1	27091.1189012222	5357.286968505	
SMED	1	2004-10-15	0.95	0.95	0	0.1184054046	1	27071.1189012222	5418.2237802445	
ASTC	0.1	2004-10-18	1.05	10.5	0.0170940171	0.2350446074	1	27143.6697350726	5414.2237802445	
GPCM	1	2004-10-20	0.7	0.7	0.0149253731	0.6462021062	1	27204.6956148788	5428.7339470145	
LTBR	0.0333333333	2004-10-22	3.6	108	0.4705882353	0.2810611678	1	29745.1375551026	5440.9391229758	
LWLG	1	2004-10-21	0.85	0.85	0.3333333333	-0.005598614	0	29745.1375551026	5949.0275110205	
DYSL	1	2004-10-25	0.25	0.25	0	0.1569653126	1	29725.1375551026	5949.0275110205	
HOLL	1	2004-10-26	3.3	3.3	-0.0235988201	0.4522367121	1	29564.8419206243	5945.0275110205	
AIRI	0.0021389092	2004-10-27	29.98	14016.49	0	0.3379370268	1	29544.8419206243	5912.9683841249	
ACFN	1.0396039604	2004-10-28	0.84	0.808	0.0834710744	0.0634337129	1	30018.0698601256	5908.9683841249	
NTIP	1.0714285714	2004-10-29	0.43	0.4013333333	0.0147727273	0.1454960062	1	30086.7596119851	6003.6139720251	
DYSL	1	2004-11-01	0.45	0.45	0	0.8564247312	1	30066.7596119851	6017.351922397	
GLOW	0.25	2004-11-02	1.12	4.48	-0.0083333333	1.1032829999	1	29996.6483459651	6013.351922397	
NHLD	1	2004-11-03	0.4	0.4	-0.2	0.1021229388	1	28776.7824121265	5999.329669193	
PED	0.0029723571	2004-11-05	0.58	195.1313333333	0	0.0806340576	1	28756.7824121265	5755.3564824253	
IEC	1	2004-11-08	0.55	0.55	0.0545454545	0.0847288765	1	29050.4927657133	5751.3564824253	
LOCM	1	2004-11-09	14.91	14.91	-0.0188314824	0.0904452543	1	28921.0799972089	5810.0985531427	
CPAH	0.2	2004-11-10	8.5	42.5	-0.0206185567	0.0681389474	1	28781.8178116534	5784.2159994418	
BKYI	1	2004-11-11	0.88	0.88	-0.04	0.1319208978	1	28531.5632691602	5756.3635623307	
OPXA	0.025	2004-11-12	9	360	0	0.1118667869	1	28511.5632691602	5706.3126538321	
GSB	1.0740740741	2004-11-15	0.3	0.2793103448	-0.2631578947	0.1535351121	1	26990.9546760465	5702.3126538321	
GPCM	1	2004-11-16	0.98	0.98	-0.0982142857	0.1187190778	1	26440.7752091956	5398.1909352093	
GSB	1.0714285714	2004-11-17	0.15	0.14	-0.1111111111	0.1434462388	1	25833.202426769	5288.1550418391	
GSB	1.0666666667	2004-11-18	0.18	0.16875	0	0.1307769983	1	25813.202426769	5166.6404853538	
GSB	1.0666666667	2004-11-19	0.16	0.15	0	0.0971597175	1	25793.202426769	5162.6404853538	
OPXA	0.025	2004-11-22	9	360	0	0.151130099	1	25773.202426769	5158.6404853538	
PNTR	0.01	2004-11-23	0.09	9	0	0.052526054	1	25753.202426769	5154.6404853538	
LTBR	0.0333333333	2004-11-24	3.6	108	0	0.1494551668	1	25733.202426769	5150.6404853538	
LTBR	0.0333333333	2004-11-26	3	90	0	0.1217162943	1	25713.202426769	5146.6404853538	
LOCM	1	2004-11-30	26.84	26.84	0.0076614374	0.0495130276	1	25732.6024450808	5142.6404853538	
ZTHO	1	2004-12-01	1.32	1.32	-0.0647482014	0.0764282086	1	25379.3744997488	5146.5204890162	
PURE	0.125	2004-12-02	0.65	5.2	0.0461538462	0.1086054135	1	25593.6456489772	5075.8748999498	
LTBR	0.0333333333	2004-12-03	3.3	99	0.1153846154	0.0749484355	1	26164.2682408767	5118.7291297955	
GSB	1.0869565217	2004-12-06	0.15	0.138	0	0.087459213	1	26144.2682408767	5232.8536481753	
AXGN	1.2204724409	2004-12-07	1.5	1.2290322581	0.0499344866	0.0887297821	1	26385.3683631274	5228.8536481753	
DARA	0.0003125	2004-12-08	5.11	16352	0.0600862579	0.0562632957	1	26682.4479728508	5277.0736726255	
XPLR	0.0025	2004-12-09	204	81600	-0.1551724138	0.1004940592	1	25834.3720012796	5336.4895945702	
LTBR	0.0333333333	2004-12-10	4.2	126	-0.04	0.1135002057	1	25607.6970252694	5166.8744002559	
ALYE	0.2	2004-12-13	0.65	3.25	0.0059171598	0.1306413761	1	25618.0019921632	5121.5394050539	
LTBR	0.0333333333	2004-12-14	3.6	108	-0.0599455041	0.0754055169	1	25290.8651835378	5123.6003984326	
ALYE	0.2	2004-12-15	0.65	3.25	0	0.1104125716	1	25270.8651835378	5058.1730367076	
HIPP	1	2004-12-16	0.21	0.21	-0.1818181818	0.0960442384	1	24331.9246314091	5054.1730367076	
ALYE	0.2	2004-12-17	0.65	3.25	-0.1446153846	0.0712855735	1	23608.1705036084	4866.3849262818	
NHLD	1	2004-12-20	0.75	0.75	0	0.0863308878	1	23588.1705036084	4721.6341007217	
IEC	1	2004-12-22	0.58	0.58	0.1836734694	0.0651030689	1	24434.6747261899	4717.6341007217	
GSB	1.0476190476	2004-12-23	0.16	0.1527272727	0.04	0.1079784076	1	24610.1521239994	4886.934945238	
ADMP	0.0588235294	2004-12-27	2.35	39.95	0.0185185185	0.1444510115	1	24681.3008355698	4922.0304247999	
PNTR	0.01	2004-12-28	0.11	11	0.0833333333	0.2151189613	1	25072.655849496	4936.260167114	
ADMP	0.0588235294	2004-12-29	2.75	46.75	0.0690909091	0.269594343	1	25399.114366689	5014.5311698992	
HIPP	1	2004-12-30	0.19	0.19	-0.0526315789	0.0819415642	1	25111.7552680923	5079.8228733378	
AXGN	1.2195121951	2005-01-03	1.5	1.23	0	0.0769617889	1	25091.7552680923	5022.3510536185	
XPLR	0.0025	2005-01-04	80000	32000000	-0.1683673469	0.5717589906	1	24226.8288151871	5018.3510536185	
XPLR	0.0025	2005-01-06	65200	26080000	399	0.2142963206	1	1957507.76826712	4845.3657630374	
RFIL	2.5855421687	2005-01-07	11.89	4.5986486486	-0.0346614192	0.0473512923	1	1943917.76878844	391501.553653424	
XPLR	0.0025	2005-01-10	163.2	65280	0	0.5819070474	1	1943897.76878844	388783.553757689	
